Temperature,Growth,Metal_source,Metal_amount,Metal_mmol,Metal_concentration,Chalcogen_source,Chalcogen_amount,Chalcogen_mmol,Chalcogen_concentration,Metal/Se_ratio,Carboxylic_Acid,CA_amount,CA_mmol,Cd/CA_ratio,Amines,Amines_amount,Phosphines,Phosphines_amount,Phosphines_mmol,Chalcogen/Ph_ratio,Solvent I,S_I_amount,Solvent II,S_II_amount,Total_amount,Time_min,Diameter_nm,Diameter from,Citation
300,300,cadmium stearate,0.13,0.2,0.02,Se powder,0.06,0.8,0.07,0.25,None,0,0,0,octadecylamine,0.2,trioctylphosphine,1.25,3.38,0.24,octadecene,10,None,0,11.65,5,3.41,TEM,J. Phys. Chem. C 2012 116 47 25065 - 25073     
225,225,cadmium oxide,0.01,0.1,0.01,Se powder,0.03,0.38,0.04,0.27,oleic acid,0.54,1.9,0.05,None,0,trioctylphosphine,0.33,0.9,0.42,octadecene,7.89,None,0,8.8,0.5,2.5,TEM,Colloids and Surfaces A: Physicochemical and Engineering Aspects 2016 494 162 - 169  
250,250,cadmium stearate,0.0678,0.1,0.035257823,Se powder,0.00395,0.05,0.017628911,2,None,0,0,0,None,0,None,0,0,0,octadecene,2.7645,None,0,2.83625,0.5,1.99,TEM,J. Phys. Chem. Lett. 2017 8 15 3576-3580     
250,250,cadmium stearate,0.0678,0.1,0.034915592,Se powder,0.00395,0.05,0.017457796,2,None,0,0,0,None,0,trioctylphosphine,0.0278,0.075,0.666666667,octadecene,2.7645,None,0,2.86405,0.5,2.13,TEM,J. Phys. Chem. Lett. 2017 8 15 3576-3580     
250,250,cadmium stearate,0.0678,0.1,0.034915592,Se powder,0.00395,0.05,0.017457796,2,None,0,0,0,None,0,trioctylphosphine,0.0278,0.075,0.666666667,octadecene,2.7645,None,0,2.86405,1,2.27,TEM,J. Phys. Chem. Lett. 2017 8 15 3576-3580     
250,250,cadmium stearate,0.0678,0.1,0.034915592,Se powder,0.00395,0.05,0.017457796,2,None,0,0,0,None,0,trioctylphosphine,0.0278,0.075,0.666666667,octadecene,2.7645,None,0,2.86405,2,2.53,TEM,J. Phys. Chem. Lett. 2017 8 15 3576-3580     
250,250,cadmium stearate,0.0678,0.1,0.034915592,Se powder,0.00395,0.05,0.017457796,2,None,0,0,0,None,0,trioctylphosphine,0.0278,0.075,0.666666667,octadecene,2.7645,None,0,2.86405,5,2.71,TEM,J. Phys. Chem. Lett. 2017 8 15 3576-3580     
250,250,cadmium stearate,0.0678,0.1,0.034915592,Se powder,0.00395,0.05,0.017457796,2,None,0,0,0,None,0,trioctylphosphine,0.0278,0.075,0.666666667,octadecene,2.7645,None,0,2.86405,15,2.91,TEM,J. Phys. Chem. Lett. 2017 8 15 3576-3580     
250,250,cadmium stearate,0.0678,0.1,0.034915592,Se powder,0.00395,0.05,0.017457796,2,None,0,0,0,None,0,trioctylphosphine,0.0278,0.075,0.666666667,octadecene,2.7645,None,0,2.86405,30,3.02,TEM,J. Phys. Chem. Lett. 2017 8 15 3576-3580     
250,250,cadmium stearate,0.0678,0.1,0.034915592,Se powder,0.00395,0.05,0.017457796,2,None,0,0,0,None,0,trioctylphosphine,0.0278,0.075,0.666666667,octadecene,2.7645,None,0,2.86405,45,3.02,TEM,J. Phys. Chem. Lett. 2017 8 15 3576-3580     
250,250,cadmium stearate,0.0678,0.1,0.034915592,Se powder,0.00395,0.05,0.017457796,2,None,0,0,0,None,0,trioctylphosphine,0.0278,0.075,0.666666667,octadecene,2.7645,None,0,2.86405,60,3.02,TEM,J. Phys. Chem. Lett. 2017 8 15 3576-3580     
250,250,cadmium stearate,0.0678,0.1,0.013729757,Se powder,0.00395,0.05,0.006864879,2,None,0,0,0,None,0,trioctylphosphine,4.4472,0.6,0.083333333,octadecene,2.7645,None,0,7.28345,0.5,2.98,TEM,J. Phys. Chem. Lett. 2017 8 15 3576-3580     
250,250,cadmium stearate,0.0678,0.1,0.013729757,Se powder,0.00395,0.05,0.006864879,2,None,0,0,0,None,0,trioctylphosphine,4.4472,0.6,0.083333333,octadecene,2.7645,None,0,7.28345,1,3.21,TEM,J. Phys. Chem. Lett. 2017 8 15 3576-3580     
250,250,cadmium stearate,0.0678,0.1,0.013729757,Se powder,0.00395,0.05,0.006864879,2,None,0,0,0,None,0,trioctylphosphine,4.4472,0.6,0.083333333,octadecene,2.7645,None,0,7.28345,2,3.43,TEM,J. Phys. Chem. Lett. 2017 8 15 3576-3580     
250,250,cadmium stearate,0.0678,0.1,0.013729757,Se powder,0.00395,0.05,0.006864879,2,None,0,0,0,None,0,trioctylphosphine,4.4472,0.6,0.083333333,octadecene,2.7645,None,0,7.28345,5,4.07,TEM,J. Phys. Chem. Lett. 2017 8 15 3576-3580     
250,250,cadmium stearate,0.0678,0.1,0.013729757,Se powder,0.00395,0.05,0.006864879,2,None,0,0,0,None,0,trioctylphosphine,4.4472,0.6,0.083333333,octadecene,2.7645,None,0,7.28345,15,4.95,TEM,J. Phys. Chem. Lett. 2017 8 15 3576-3580     
250,250,cadmium stearate,0.0678,0.1,0.013729757,Se powder,0.00395,0.05,0.006864879,2,None,0,0,0,None,0,trioctylphosphine,4.4472,0.6,0.083333333,octadecene,2.7645,None,0,7.28345,30,5.41,TEM,J. Phys. Chem. Lett. 2017 8 15 3576-3580     
250,250,cadmium stearate,0.0678,0.1,0.013729757,Se powder,0.00395,0.05,0.006864879,2,None,0,0,0,None,0,trioctylphosphine,4.4472,0.6,0.083333333,octadecene,2.7645,None,0,7.28345,45,5.49,TEM,J. Phys. Chem. Lett. 2017 8 15 3576-3580     
250,250,cadmium stearate,0.0678,0.1,0.013729757,Se powder,0.00395,0.05,0.006864879,2,None,0,0,0,None,0,trioctylphosphine,4.4472,0.6,0.083333333,octadecene,2.7645,None,0,7.28345,60,5.55,TEM,J. Phys. Chem. Lett. 2017 8 15 3576-3580     
255,255,cadmium oxide,0.05,0.39,0.16,Se powder,0.01,0.13,0.05,3.1,stearic acid,1.6,5.66,0.07,None,0,tributylphosphine,0.82,2.21,0.06,None,0,None,0,2.48,0.17,2.6,TEM,Colloids and Surfaces A: Physicochemical and Engineering Aspects 2014 461 (1).158-166  
255,255,cadmium oxide,0.05,0.39,0.16,Se powder,0.01,0.13,0.05,3.1,stearic acid,1.6,5.66,0.07,None,0,tributylphosphine,0.82,2.21,0.06,None,0,None,0,2.48,0.34,3.2,TEM,Colloids and Surfaces A: Physicochemical and Engineering Aspects 2014 461 (1).158-166  
255,255,cadmium oxide,0.05,0.39,0.16,Se powder,0.01,0.13,0.05,3.1,stearic acid,1.6,5.66,0.07,None,0,tributylphosphine,0.82,2.21,0.06,None,0,None,0,2.48,0.68,3.6,TEM,Colloids and Surfaces A: Physicochemical and Engineering Aspects 2014 461 (1).158-166  
255,255,cadmium oxide,0.05,0.39,0.16,Se powder,0.01,0.13,0.05,3.1,stearic acid,1.6,5.66,0.07,None,0,tributylphosphine,0.82,2.21,0.06,None,0,None,0,2.48,1,3.9,TEM,Colloids and Surfaces A: Physicochemical and Engineering Aspects 2014 461 (1).158-166  
260,260,cadmium oxide,0.33,2.57,0.13,Se powder,0.23,2.85,0.15,0.9,oleic acid,16.11,57.03,0.04,None,0,trioctylphosphine,2.49,6.74,0.42,None,0,None,0,19.16,0.1,2.25,TEM,Chemical Engineering Journal 2017 320 232-243       
260,260,cadmium oxide,0.33,2.57,0.13,Se powder,0.23,2.85,0.15,0.9,oleic acid,16.11,57.03,0.04,None,0,trioctylphosphine,2.49,6.74,0.42,None,0,None,0,19.16,0.45,3.23,TEM,Chemical Engineering Journal 2017 320 232-243       
260,260,cadmium oxide,0.33,2.57,0.13,Se powder,0.23,2.85,0.15,0.9,oleic acid,16.11,57.03,0.04,None,0,trioctylphosphine,2.49,6.74,0.42,None,0,None,0,19.16,0.82,3.61,TEM,Chemical Engineering Journal 2017 320 232-243       
260,260,cadmium oxide,0.33,2.57,0.13,Se powder,0.23,2.85,0.15,0.9,oleic acid,16.11,57.03,0.04,None,0,trioctylphosphine,2.49,6.74,0.42,None,0,None,0,19.16,1.17,3.86,TEM,Chemical Engineering Journal 2017 320 232-243       
260,260,cadmium oxide,0.33,2.57,0.13,Se powder,0.23,2.85,0.15,0.9,oleic acid,16.11,57.03,0.04,None,0,trioctylphosphine,2.49,6.74,0.42,None,0,None,0,19.16,7.5,4.74,TEM,Chemical Engineering Journal 2017 320 232-243       
280,250,cadmium oxide,0.01,0.1,0.02,Se powder,0.01,0.1,0.02,1,oleic acid,0.27,0.95,0.11,None,0,trioctylphosphine,1.66,4.49,0.02,octadecene,3.95,None,0,5.9,20,3.7,TEM,J. Phys. Chem. C 2011 115 27 13236 - 13241     
320,280,cadmium oxide,0.08,0.65,0.03,Se powder,0.05,0.65,0.03,1,stearic acid,0.9,3.18,0.2,hexadecylamine,9.73,trioctylphosphine,5.19,14.03,0.05,None,0,trioctylphosphine oxide,9.83,25.79,1,3.7,TEM,International Journal of Photoenergy.2012. Article ID 952610      
