,Unnamed: 0,Growth Temp (Celsius),Metal_mmol (mmol),Chalcogen_mmol (mmol),CA_mmol (mmol),Amines_mmol (mmol),Phosphines_mmol (mmol),S_I_amount (g),S_II_amount (g),Time_min (min),x0_cadmium acetate,x0_cadmium acetate dihtdrate,x0_cadmium acetate dihydrate,x0_cadmium oxide,x0_cadmium stearate,x0_dimethylcadmium,x1_None,x1_benzoic acid,x1_dodecylphosphonic acid,x1_ethylphosphonic acid,x1_lauric acid,x1_myrstic acid,x1_oleic acid,x1_stearic acid,x2_2-6-dimethylpyridine,x2_None,x2_aniline,x2_benzylamine,x2_dioctylamine/hexadecylamine,x2_dodecylamine,x2_heptylamine,x2_hexadecylamine,x2_octadecylamine,x2_octylamine,x2_oleylamine,x2_pyridine,x2_trioctylamine,x3_None,x3_diphenylphosphine,x3_tributylphosphine,x3_trioctylphosphine,x3_triphenylphosphine,x4_None,x4_liquid parafin,x4_octadecene,x4_phenyl ether,x4_trioctylphosphine oxide,x5_None,x5_phosphinic acid,x5_trioctylphosphine oxide,Diameter_nm,Absorbance max (nm),PL max (nm)
0,0,1.105102786,-0.43748622,-0.2437792,-0.525436685,-0.416112406,-0.165454919,-0.123360132,-0.302087419,-0.226076969,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3.41,566.0,575
1,1,-0.062540435,-0.47202717,-0.436360531,-0.305510258,-0.498128738,-0.375670941,-0.241193293,-0.302087419,-0.23546254,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.5,474.0,617
2,2,0.326673972,-0.47202717,-0.587674434,-0.525436685,-0.498128738,-0.451959013,-0.527427354,-0.302087419,-0.23546254,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1.99,450.4,497
3,3,0.326673972,-0.47202717,-0.587674434,-0.525436685,-0.498128738,-0.445601674,-0.527427354,-0.302087419,-0.23546254,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.13,471.6,510
4,4,0.326673972,-0.47202717,-0.587674434,-0.525436685,-0.498128738,-0.445601674,-0.527427354,-0.302087419,-0.234419699,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.27,486.0,517
5,5,0.326673972,-0.47202717,-0.587674434,-0.525436685,-0.498128738,-0.445601674,-0.527427354,-0.302087419,-0.232334017,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.53,491.6,522
6,6,0.326673972,-0.47202717,-0.587674434,-0.525436685,-0.498128738,-0.445601674,-0.527427354,-0.302087419,-0.226076969,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.71,513.8,532
7,7,0.326673972,-0.47202717,-0.587674434,-0.525436685,-0.498128738,-0.445601674,-0.527427354,-0.302087419,-0.205220145,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.91,526.4,547
8,8,0.326673972,-0.47202717,-0.587674434,-0.525436685,-0.498128738,-0.445601674,-0.527427354,-0.302087419,-0.173934909,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3.02,554.6,550
9,9,0.326673972,-0.47202717,-0.587674434,-0.525436685,-0.498128738,-0.445601674,-0.527427354,-0.302087419,-0.142649673,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3.02,554.6,549
10,10,0.326673972,-0.47202717,-0.587674434,-0.525436685,-0.498128738,-0.445601674,-0.527427354,-0.302087419,-0.111364437,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3.02,554.6,548
11,11,0.326673972,-0.47202717,-0.587674434,-0.525436685,-0.498128738,-0.401100298,-0.527427354,-0.302087419,-0.23546254,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.98,533.6,549
12,12,0.326673972,-0.47202717,-0.587674434,-0.525436685,-0.498128738,-0.401100298,-0.527427354,-0.302087419,-0.234419699,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3.21,570.0,560
13,13,0.326673972,-0.47202717,-0.587674434,-0.525436685,-0.498128738,-0.401100298,-0.527427354,-0.302087419,-0.232334017,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3.43,574.4,582
14,14,0.326673972,-0.47202717,-0.587674434,-0.525436685,-0.498128738,-0.401100298,-0.527427354,-0.302087419,-0.226076969,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4.07,583.4,593
15,15,0.326673972,-0.47202717,-0.587674434,-0.525436685,-0.498128738,-0.401100298,-0.527427354,-0.302087419,-0.205220145,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4.95,618.0,602
16,16,0.326673972,-0.47202717,-0.587674434,-0.525436685,-0.498128738,-0.401100298,-0.527427354,-0.302087419,-0.173934909,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,5.41,632.0,603
17,17,0.326673972,-0.47202717,-0.587674434,-0.525436685,-0.498128738,-0.401100298,-0.527427354,-0.302087419,-0.142649673,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,5.49,632.0,603
18,18,0.326673972,-0.47202717,-0.587674434,-0.525436685,-0.498128738,-0.401100298,-0.527427354,-0.302087419,-0.111364437,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,5.55,632.0,604
19,19,0.404516853,-0.371858416,-0.550992276,0.129712567,-0.498128738,-0.264629413,-0.681811133,-0.302087419,-0.236150815,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2.6,526.0,556
20,20,0.404516853,-0.371858416,-0.550992276,0.129712567,-0.498128738,-0.264629413,-0.681811133,-0.302087419,-0.235796249,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3.2,559.0,580
21,21,0.404516853,-0.371858416,-0.550992276,0.129712567,-0.498128738,-0.264629413,-0.681811133,-0.302087419,-0.235087117,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3.6,574.0,598
22,22,0.404516853,-0.371858416,-0.550992276,0.129712567,-0.498128738,-0.264629413,-0.681811133,-0.302087419,-0.234419699,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3.9,582.0,601
23,23,0.482359735,0.381134285,0.696201108,6.075828661,-0.498128738,0.119353885,-0.681811133,-0.302087419,-0.235566824,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3.23,556.0,562
24,24,0.482359735,0.381134285,0.696201108,6.075828661,-0.498128738,0.119353885,-0.681811133,-0.302087419,-0.234795122,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3.61,570.0,577
25,25,0.482359735,0.381134285,0.696201108,6.075828661,-0.498128738,0.119353885,-0.681811133,-0.302087419,-0.234065133,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3.86,574.0,588
26,26,0.482359735,0.381134285,0.696201108,6.075828661,-0.498128738,0.119353885,-0.681811133,-0.302087419,-0.220862763,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,4.74,605.0,624
27,27,0.326673972,-0.47202717,-0.564748085,-0.415473471,-0.498128738,-0.071366296,-0.461222987,-0.302087419,-0.194791733,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3.7,578.0,580
28,28,0.79373126,-0.282051947,-0.312558247,-0.157349296,4.22366865,0.737287271,-0.132853799,-0.302087419,-0.234419699,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3.7,577.0,600
