Models,One output,Multioutput,R2_d,R2_ab,R2_pl,MSE_d,MSE_ab,MSE_pl,author
Multilinear Regression,Y,,0.17,0.43,0.21,2.01,2439.1,1044.73,Harrison
Ridge,Y,,0.32,0.60,0.26,1.23,2060.45,1288.80,Florence
Gradient Boosting,Y,,0.70,0.90,0.73,0.54,513.10,480.37,Florence
K Neighbors,Y,,0.61,0.75,0.38,0.70,1261.51,1091.43,Florence
SVR(kernel='linear'),Y,,0.26,0.43,0.10,1.35,2918.78,1576.63,Florence
SVR(kernel='rbf'),Y,,0.30,-0.04,0.06,1.27,5311.58,1638.89,Florence
Extra Trees,,Y,0.81,0.94,0.78,0.50,363.21,467.10,Hao
Lasso,,Y,0.25,0.57,0.45,1.97,2564.61,1181.82,Hao
Decision Tree,,Y,0.68,0.87,0.73,0.84,780.40,581.52,Hao
Random Forest,,Y,0.75,0.89,0.81,0.65,651.70,396.97,Hao
Ada Boost,,Y,0.66,0.76,0.69,0.89,1420.93,667.29,Hao
Ridge,,Y,0.36,0.66,0.49,1.68,2039.36,1086.21,Hao
Ridge CV,,Y,0.36,0.66,0.49,1.68,2033.80,1083.75,Hao
K Neighbors,,Y,0.75,0.80,0.62,0.66,1196.99,816.85,Hao
Decision Tree,Y,,0.62,0.86,0.52,0.69,738,839,Benedicte
Random Forest,Y,,0.65,0.83,0.67,0.64,864,569,Benedicte
